T	<m>	d<m>
2.260	0.044	0.103
2.260	0.588	0.103
2.260	0.695	0.101
2.260	0.543	0.124
2.260	0.618	0.105
2.260	0.658	0.105
2.260	-0.275	0.091
2.260	0.670	0.109
2.260	0.303	0.129
2.260	0.641	0.111
2.260	-0.371	0.106
2.260	-0.281	0.108
2.260	-0.276	0.084
2.260	0.732	0.102
2.260	0.266	0.113
2.260	0.715	0.096
2.260	-0.673	0.100
2.260	0.375	0.086
2.260	0.069	0.094
2.260	-0.496	0.116
2.260	-0.294	0.107
2.260	0.600	0.093
2.260	-0.492	0.107
2.260	0.593	0.114
2.260	0.599	0.110
2.260	0.433	0.122
2.260	-0.405	0.116
2.260	-0.583	0.106
2.260	0.628	0.103
2.260	0.619	0.106
2.260	0.531	0.097
2.260	0.639	0.107
2.260	-0.680	0.110
2.260	-0.657	0.107
2.260	0.645	0.090
2.260	-0.706	0.089
2.260	0.406	0.117
2.260	0.580	0.108
2.260	-0.493	0.116
2.260	-0.373	0.116
2.260	0.687	0.098
2.260	-0.586	0.110
2.260	0.662	0.098
2.260	0.664	0.101
2.260	0.505	0.132
2.260	-0.522	0.116
2.260	0.252	0.096
2.260	0.656	0.101
2.260	-0.581	0.116
2.260	0.632	0.099
2.260	-0.548	0.102
2.260	0.668	0.109
2.260	-0.618	0.100
2.260	0.410	0.105
2.260	0.634	0.091
2.260	-0.701	0.096
2.260	-0.704	0.104
2.260	0.600	0.111
2.260	-0.584	0.096
2.260	-0.589	0.121
2.260	0.627	0.099
2.260	-0.468	0.106
2.260	0.648	0.106
2.260	-0.698	0.088
2.260	-0.644	0.112
2.260	-0.473	0.093
2.260	0.689	0.103
2.260	0.502	0.093
2.260	-0.565	0.099
2.260	0.451	0.116
2.260	0.686	0.099
2.260	-0.293	0.110
2.260	0.588	0.120
2.260	-0.546	0.093
2.260	-0.667	0.100
2.260	0.569	0.113
2.260	-0.633	0.109
2.260	0.498	0.109
2.260	0.651	0.105
2.260	0.431	0.124
2.260	0.601	0.102
2.260	0.672	0.094
2.260	0.086	0.092
2.260	0.634	0.107
2.260	0.663	0.109
2.260	0.699	0.104
2.260	-0.579	0.101
2.260	0.560	0.083
2.260	0.432	0.112
2.260	0.569	0.106
2.260	-0.730	0.100
2.260	-0.563	0.115
2.260	0.193	0.088
2.260	-0.559	0.109
2.260	0.604	0.116
2.260	-0.215	0.088
2.260	0.622	0.116
2.260	0.270	0.107
2.260	-0.500	0.100
2.260	-0.682	0.112
2.260	0.399	0.114
2.260	-0.477	0.099
2.260	-0.695	0.091
2.260	0.119	0.069
2.260	-0.200	0.088
2.260	-0.633	0.109
2.260	-0.574	0.114
2.260	-0.679	0.091
2.260	0.717	0.092
2.260	-0.669	0.095
2.260	-0.702	0.093
2.260	-0.599	0.102
2.260	0.606	0.107
2.260	0.508	0.109
2.260	-0.719	0.090
2.260	-0.389	0.105
2.260	0.583	0.101
2.260	0.564	0.108
2.260	-0.541	0.112
2.260	0.712	0.108
2.260	0.724	0.087
2.260	-0.596	0.093
2.260	0.642	0.104
2.260	-0.629	0.105
2.260	-0.536	0.113
2.260	0.563	0.107
2.260	-0.582	0.118
2.260	-0.406	0.125
2.260	-0.699	0.095
2.260	0.602	0.111
2.260	-0.589	0.097
2.260	-0.472	0.109
2.260	-0.521	0.104
2.260	0.588	0.106
2.260	0.401	0.115
2.260	0.595	0.105
2.260	-0.320	0.109
2.260	0.393	0.087
2.260	0.674	0.100
2.260	-0.714	0.095
2.260	0.629	0.108
2.260	-0.600	0.106
2.260	-0.493	0.124
2.260	0.526	0.091
2.260	-0.553	0.115
2.260	0.611	0.113
2.260	0.607	0.101
2.260	-0.341	0.116
2.260	-0.568	0.093
2.260	-0.681	0.121
2.260	0.303	0.077
2.260	-0.493	0.087
2.260	-0.543	0.113
2.260	-0.691	0.100
