T	<e>	d<e>
2.260	-1.393	0.087
2.260	-1.456	0.106
2.260	-1.465	0.089
2.260	-1.421	0.111
2.260	-1.378	0.099
2.260	-1.441	0.103
2.260	-1.454	0.107
2.260	-1.371	0.099
2.260	-1.434	0.108
2.260	-1.373	0.109
2.260	-1.377	0.117
2.260	-1.401	0.102
2.260	-1.375	0.111
2.260	-1.415	0.122
2.260	-1.422	0.108
2.260	-1.382	0.113
2.260	-1.438	0.095
2.260	-1.424	0.090
2.260	-1.434	0.130
2.260	-1.418	0.104
2.260	-1.463	0.099
2.260	-1.363	0.091
2.260	-1.366	0.097
2.260	-1.382	0.096
2.260	-1.471	0.094
2.260	-1.362	0.091
2.260	-1.426	0.116
2.260	-1.437	0.111
2.260	-1.384	0.107
2.260	-1.353	0.102
2.260	-1.419	0.125
2.260	-1.389	0.096
2.260	-1.427	0.109
2.260	-1.388	0.102
2.260	-1.413	0.118
2.260	-1.472	0.088
2.260	-1.416	0.107
2.260	-1.447	0.108
2.260	-1.459	0.096
2.260	-1.428	0.095
2.260	-1.440	0.113
2.260	-1.436	0.105
2.260	-1.379	0.102
2.260	-1.473	0.087
2.260	-1.416	0.107
2.260	-1.415	0.117
2.260	-1.400	0.109
2.260	-1.415	0.095
2.260	-1.411	0.105
2.260	-1.433	0.106
2.260	-1.407	0.124
2.260	-1.397	0.119
2.260	-1.368	0.093
2.260	-1.473	0.096
2.260	-1.431	0.093
2.260	-1.426	0.119
2.260	-1.376	0.101
2.260	-1.381	0.124
2.260	-1.387	0.112
2.260	-1.379	0.112
2.260	-1.424	0.105
2.260	-1.466	0.092
2.260	-1.453	0.122
2.260	-1.365	0.094
2.260	-1.392	0.097
2.260	-1.445	0.101
2.260	-1.462	0.100
2.260	-1.473	0.103
2.260	-1.427	0.095
2.260	-1.421	0.109
2.260	-1.418	0.112
2.260	-1.437	0.106
2.260	-1.437	0.106
2.260	-1.408	0.100
2.260	-1.461	0.105
2.260	-1.437	0.104
2.260	-1.327	0.086
2.260	-1.339	0.099
2.260	-1.386	0.100
2.260	-1.389	0.127
2.260	-1.427	0.104
2.260	-1.448	0.099
2.260	-1.438	0.105
2.260	-1.398	0.117
2.260	-1.393	0.111
2.260	-1.362	0.103
2.260	-1.444	0.094
2.260	-1.425	0.095
2.260	-1.394	0.105
2.260	-1.361	0.094
2.260	-1.385	0.118
2.260	-1.378	0.108
2.260	-1.379	0.115
2.260	-1.355	0.110
2.260	-1.406	0.095
2.260	-1.456	0.090
2.260	-1.381	0.102
2.260	-1.362	0.102
2.260	-1.435	0.103
2.260	-1.452	0.102
2.260	-1.405	0.118
2.260	-1.389	0.102
2.260	-1.370	0.118
2.260	-1.373	0.103
2.260	-1.388	0.104
2.260	-1.423	0.117
2.260	-1.459	0.106
2.260	-1.458	0.109
2.260	-1.442	0.101
2.260	-1.421	0.109
2.260	-1.397	0.122
2.260	-1.386	0.103
2.260	-1.438	0.100
2.260	-1.435	0.099
2.260	-1.466	0.094
2.260	-1.442	0.103
2.260	-1.415	0.108
2.260	-1.331	0.080
2.260	-1.401	0.104
2.260	-1.333	0.088
2.260	-1.464	0.112
2.260	-1.371	0.098
2.260	-1.441	0.106
2.260	-1.400	0.096
2.260	-1.393	0.097
2.260	-1.349	0.101
2.260	-1.444	0.109
2.260	-1.371	0.111
2.260	-1.450	0.097
2.260	-1.318	0.072
2.260	-1.444	0.092
2.260	-1.382	0.092
2.260	-1.422	0.109
2.260	-1.463	0.091
2.260	-1.428	0.106
2.260	-1.449	0.105
2.260	-1.448	0.088
2.260	-1.454	0.117
2.260	-1.440	0.115
2.260	-1.425	0.104
2.260	-1.429	0.112
2.260	-1.449	0.099
2.260	-1.412	0.121
2.260	-1.399	0.104
2.260	-1.474	0.091
2.260	-1.462	0.101
2.260	-1.378	0.129
2.260	-1.403	0.113
2.260	-1.460	0.089
2.260	-1.415	0.111
2.260	-1.368	0.106
2.260	-1.456	0.110
2.260	-1.326	0.094
2.260	-1.324	0.111
2.260	-1.429	0.103
2.260	-1.437	0.093
2.260	-1.368	0.116
2.260	-1.407	0.106
2.260	-1.391	0.110
2.260	-1.377	0.094
2.260	-1.449	0.104
2.260	-1.396	0.108
2.260	-1.429	0.106
2.260	-1.379	0.095
2.260	-1.450	0.094
2.260	-1.353	0.098
2.260	-1.423	0.109
2.260	-1.409	0.107
2.260	-1.423	0.111
2.260	-1.333	0.110
2.260	-1.389	0.106
2.260	-1.425	0.099
2.260	-1.455	0.109
2.260	-1.449	0.104
2.260	-1.396	0.101
2.260	-1.412	0.101
2.260	-1.430	0.090
2.260	-1.461	0.093
2.260	-1.431	0.104
2.260	-1.424	0.116
2.260	-1.375	0.103
2.260	-1.445	0.107
2.260	-1.400	0.111
2.260	-1.346	0.084
2.260	-1.368	0.102
2.260	-1.435	0.116
2.260	-1.451	0.112
2.260	-1.408	0.112
2.260	-1.350	0.102
2.260	-1.431	0.100
2.260	-1.438	0.110
2.260	-1.422	0.085
2.260	-1.342	0.082
2.260	-1.426	0.097
2.260	-1.369	0.122
2.260	-1.420	0.114
2.260	-1.386	0.110
2.260	-1.411	0.118
2.260	-1.458	0.094
2.260	-1.440	0.098
2.260	-1.442	0.091
2.260	-1.397	0.104
2.260	-1.358	0.094
2.260	-1.457	0.105
2.260	-1.415	0.097
2.260	-1.380	0.101
2.260	-1.423	0.092
2.260	-1.460	0.113
2.260	-1.382	0.109
2.260	-1.402	0.101
2.260	-1.413	0.112
2.260	-1.451	0.096
2.260	-1.448	0.101
2.260	-1.380	0.107
2.260	-1.388	0.109
2.260	-1.426	0.114
2.260	-1.371	0.100
2.260	-1.385	0.109
2.260	-1.410	0.107
2.260	-1.414	0.099
2.260	-1.378	0.110
2.260	-1.439	0.102
2.260	-1.427	0.098
2.260	-1.432	0.095
2.260	-1.397	0.117
2.260	-1.424	0.094
2.260	-1.414	0.116
2.260	-1.402	0.101
2.260	-1.393	0.099
2.260	-1.471	0.101
2.260	-1.427	0.102
2.260	-1.425	0.114
2.260	-1.424	0.107
2.260	-1.427	0.108
2.260	-1.403	0.104
2.260	-1.430	0.114
2.260	-1.424	0.109
2.260	-1.451	0.101
2.260	-1.372	0.107
2.260	-1.409	0.103
2.260	-1.485	0.087
2.260	-1.461	0.098
2.260	-1.420	0.110
2.260	-1.419	0.109
2.260	-1.436	0.108
2.260	-1.445	0.098
2.260	-1.343	0.098
2.260	-1.474	0.116
2.260	-1.380	0.103
2.260	-1.412	0.088
2.260	-1.423	0.132
2.260	-1.436	0.111
2.260	-1.412	0.099
2.260	-1.383	0.110
2.260	-1.453	0.094
2.260	-1.435	0.090
2.260	-1.451	0.117
2.260	-1.448	0.090
2.260	-1.432	0.131
2.260	-1.421	0.105
2.260	-1.375	0.102
2.260	-1.415	0.118
2.260	-1.320	0.094
2.260	-1.433	0.088
2.260	-1.441	0.100
2.260	-1.428	0.122
2.260	-1.432	0.139
2.260	-1.414	0.095
2.260	-1.381	0.105
2.260	-1.406	0.114
2.260	-1.399	0.105
2.260	-1.469	0.090
2.260	-1.440	0.097
2.260	-1.374	0.110
2.260	-1.353	0.105
2.260	-1.412	0.120
2.260	-1.392	0.121
2.260	-1.306	0.076
2.260	-1.437	0.102
2.260	-1.443	0.087
2.260	-1.410	0.116
2.260	-1.428	0.106
2.260	-1.459	0.101
2.260	-1.428	0.104
2.260	-1.413	0.097
2.260	-1.496	0.091
2.260	-1.384	0.108
2.260	-1.399	0.102
2.260	-1.403	0.084
2.260	-1.453	0.092
2.260	-1.394	0.088
2.260	-1.405	0.117
2.260	-1.409	0.095
2.260	-1.432	0.108
2.260	-1.407	0.127
2.260	-1.418	0.096
2.260	-1.407	0.096
2.260	-1.425	0.109
2.260	-1.422	0.114
2.260	-1.460	0.096
2.260	-1.422	0.128
2.260	-1.348	0.086
2.260	-1.459	0.107
2.260	-1.430	0.101
2.260	-1.400	0.118
2.260	-1.376	0.095
2.260	-1.417	0.098
2.260	-1.455	0.100
2.260	-1.410	0.086
2.260	-1.337	0.068
2.260	-1.336	0.100
2.260	-1.413	0.100
2.260	-1.423	0.100
2.260	-1.416	0.112
2.260	-1.374	0.116
2.260	-1.384	0.109
2.260	-1.324	0.097
2.260	-1.435	0.106
2.260	-1.367	0.085
2.260	-1.350	0.085
2.260	-1.357	0.116
2.260	-1.432	0.119
2.260	-1.428	0.103
2.260	-1.389	0.095
2.260	-1.409	0.101
2.260	-1.390	0.098
2.260	-1.417	0.120
2.260	-1.390	0.104
2.260	-1.471	0.091
2.260	-1.412	0.104
2.260	-1.439	0.105
2.260	-1.396	0.100
2.260	-1.410	0.099
2.260	-1.401	0.115
2.260	-1.358	0.097
2.260	-1.405	0.111
2.260	-1.391	0.107
2.260	-1.460	0.110
2.260	-1.439	0.105
2.260	-1.376	0.113
2.260	-1.405	0.110
2.260	-1.451	0.091
2.260	-1.371	0.089
2.260	-1.304	0.080
2.260	-1.469	0.104
2.260	-1.415	0.127
2.260	-1.402	0.114
2.260	-1.468	0.093
2.260	-1.421	0.101
2.260	-1.412	0.099
2.260	-1.446	0.115
2.260	-1.446	0.106
2.260	-1.454	0.120
2.260	-1.451	0.104
2.260	-1.452	0.095
2.260	-1.413	0.111
2.260	-1.402	0.105
2.260	-1.332	0.105
2.260	-1.413	0.098
2.260	-1.367	0.091
2.260	-1.420	0.115
2.260	-1.355	0.119
2.260	-1.477	0.081
2.260	-1.345	0.105
2.260	-1.416	0.127
2.260	-1.447	0.114
2.260	-1.420	0.114
2.260	-1.426	0.112
2.260	-1.388	0.103
2.260	-1.406	0.126
2.260	-1.469	0.101
2.260	-1.454	0.103
2.260	-1.420	0.104
2.260	-1.455	0.108
2.260	-1.450	0.096
2.260	-1.436	0.112
2.260	-1.411	0.101
2.260	-1.400	0.115
2.260	-1.409	0.098
2.260	-1.458	0.099
2.260	-1.404	0.079
2.260	-1.382	0.090
2.260	-1.345	0.102
2.260	-1.436	0.100
2.260	-1.439	0.108
2.260	-1.471	0.104
2.260	-1.428	0.095
2.260	-1.401	0.092
2.260	-1.384	0.102
2.260	-1.440	0.103
2.260	-1.323	0.091
2.260	-1.396	0.121
2.260	-1.401	0.106
2.260	-1.351	0.107
2.260	-1.393	0.096
2.260	-1.416	0.113
2.260	-1.437	0.123
2.260	-1.445	0.096
2.260	-1.433	0.097
2.260	-1.402	0.123
2.260	-1.455	0.112
2.260	-1.366	0.119
2.260	-1.328	0.113
2.260	-1.417	0.101
2.260	-1.427	0.110
2.260	-1.420	0.110
2.260	-1.437	0.109
2.260	-1.403	0.096
2.260	-1.413	0.093
2.260	-1.467	0.113
2.260	-1.445	0.120
2.260	-1.488	0.092
2.260	-1.445	0.112
2.260	-1.380	0.104
2.260	-1.401	0.104
2.260	-1.404	0.119
2.260	-1.456	0.117
2.260	-1.395	0.114
2.260	-1.431	0.108
2.260	-1.367	0.101
2.260	-1.495	0.089
2.260	-1.431	0.116
2.260	-1.347	0.108
2.260	-1.408	0.111
2.260	-1.459	0.095
2.260	-1.382	0.101
2.260	-1.445	0.111
2.260	-1.451	0.117
2.260	-1.440	0.096
2.260	-1.388	0.105
2.260	-1.444	0.103
2.260	-1.384	0.121
2.260	-1.378	0.102
2.260	-1.422	0.117
2.260	-1.425	0.113
2.260	-1.460	0.094
2.260	-1.430	0.113
2.260	-1.383	0.117
2.260	-1.413	0.112
2.260	-1.454	0.091
2.260	-1.447	0.103
2.260	-1.421	0.096
2.260	-1.415	0.117
2.260	-1.382	0.091
2.260	-1.370	0.120
2.260	-1.416	0.088
2.260	-1.457	0.097
2.260	-1.486	0.098
2.260	-1.434	0.100
2.260	-1.457	0.104
2.260	-1.371	0.107
2.260	-1.353	0.085
2.260	-1.419	0.111
2.260	-1.413	0.117
2.260	-1.393	0.090
2.260	-1.445	0.097
2.260	-1.413	0.105
2.260	-1.317	0.080
2.260	-1.321	0.085
2.260	-1.449	0.112
2.260	-1.431	0.100
2.260	-1.447	0.096
2.260	-1.410	0.095
2.260	-1.356	0.105
2.260	-1.413	0.125
2.260	-1.429	0.115
2.260	-1.412	0.103
2.260	-1.477	0.092
2.260	-1.402	0.110
2.260	-1.463	0.104
2.260	-1.424	0.107
2.260	-1.436	0.111
2.260	-1.377	0.100
2.260	-1.452	0.118
2.260	-1.428	0.098
2.260	-1.435	0.106
2.260	-1.447	0.107
2.260	-1.427	0.098
2.260	-1.434	0.092
2.260	-1.404	0.104
2.260	-1.445	0.109
2.260	-1.388	0.105
2.260	-1.361	0.088
2.260	-1.401	0.104
2.260	-1.439	0.094
2.260	-1.421	0.112
2.260	-1.361	0.116
2.260	-1.444	0.111
2.260	-1.426	0.111
2.260	-1.383	0.115
2.260	-1.471	0.094
2.260	-1.384	0.121
2.260	-1.454	0.109
2.260	-1.413	0.116
2.260	-1.435	0.090
2.260	-1.383	0.082
2.260	-1.425	0.102
2.260	-1.436	0.097
2.260	-1.431	0.111
2.260	-1.380	0.122
2.260	-1.399	0.096
2.260	-1.446	0.093
2.260	-1.399	0.112
2.260	-1.411	0.119
2.260	-1.460	0.092
2.260	-1.470	0.100
2.260	-1.413	0.106
2.260	-1.441	0.103
2.260	-1.438	0.108
2.260	-1.431	0.110
2.260	-1.431	0.100
2.260	-1.421	0.110
2.260	-1.433	0.110
2.260	-1.408	0.100
2.260	-1.455	0.091
2.260	-1.407	0.117
2.260	-1.418	0.113
2.260	-1.423	0.113
2.260	-1.402	0.103
2.260	-1.399	0.110
2.260	-1.425	0.101
2.260	-1.430	0.116
2.260	-1.384	0.092
2.260	-1.432	0.092
2.260	-1.360	0.092
2.260	-1.475	0.109
2.260	-1.422	0.125
2.260	-1.420	0.108
2.260	-1.400	0.111
2.260	-1.442	0.118
2.260	-1.454	0.095
2.260	-1.346	0.089
2.260	-1.464	0.094
2.260	-1.422	0.110
2.260	-1.319	0.076
2.260	-1.436	0.108
2.260	-1.476	0.092
2.260	-1.412	0.118
2.260	-1.358	0.093
2.260	-1.398	0.109
2.260	-1.406	0.121
2.260	-1.392	0.110
2.260	-1.427	0.098
2.260	-1.380	0.112
2.260	-1.375	0.091
2.260	-1.460	0.094
2.260	-1.449	0.101
2.260	-1.371	0.109
2.260	-1.375	0.111
2.260	-1.412	0.094
2.260	-1.376	0.107
2.260	-1.416	0.108
2.260	-1.335	0.105
2.260	-1.363	0.108
2.260	-1.470	0.097
2.260	-1.365	0.112
2.260	-1.343	0.091
2.260	-1.450	0.091
2.260	-1.430	0.101
2.260	-1.440	0.097
2.260	-1.389	0.100
2.260	-1.379	0.096
2.260	-1.370	0.107
2.260	-1.417	0.092
2.260	-1.444	0.103
2.260	-1.473	0.107
2.260	-1.404	0.095
2.260	-1.367	0.112
2.260	-1.437	0.105
2.260	-1.396	0.093
2.260	-1.322	0.075
2.260	-1.384	0.111
2.260	-1.449	0.117
2.260	-1.385	0.115
2.260	-1.393	0.093
2.260	-1.402	0.116
2.260	-1.382	0.099
2.260	-1.401	0.108
2.260	-1.418	0.108
2.260	-1.390	0.102
2.260	-1.475	0.097
2.260	-1.407	0.103
2.260	-1.440	0.117
2.260	-1.421	0.084
2.260	-1.411	0.108
2.260	-1.459	0.099
2.260	-1.421	0.108
2.260	-1.430	0.117
2.260	-1.436	0.114
2.260	-1.437	0.103
2.260	-1.433	0.099
2.260	-1.327	0.087
2.260	-1.400	0.102
2.260	-1.446	0.105
2.260	-1.439	0.110
2.260	-1.444	0.107
2.260	-1.384	0.097
2.260	-1.372	0.104
2.260	-1.378	0.127
2.260	-1.390	0.110
2.260	-1.435	0.099
2.260	-1.356	0.084
2.260	-1.363	0.092
2.260	-1.469	0.094
2.260	-1.401	0.103
2.260	-1.416	0.111
2.260	-1.374	0.109
2.260	-1.352	0.100
2.260	-1.368	0.109
2.260	-1.413	0.110
2.260	-1.407	0.117
2.260	-1.347	0.075
2.260	-1.440	0.107
2.260	-1.435	0.107
2.260	-1.387	0.098
2.260	-1.346	0.087
2.260	-1.375	0.098
2.260	-1.395	0.114
2.260	-1.445	0.110
2.260	-1.411	0.106
2.260	-1.420	0.104
2.260	-1.382	0.098
2.260	-1.415	0.099
2.260	-1.419	0.091
2.260	-1.420	0.110
2.260	-1.355	0.112
2.260	-1.405	0.109
2.260	-1.408	0.106
2.260	-1.448	0.098
2.260	-1.414	0.098
2.260	-1.346	0.084
2.260	-1.424	0.105
2.260	-1.389	0.104
2.260	-1.331	0.073
2.260	-1.370	0.099
2.260	-1.381	0.121
2.260	-1.466	0.108
2.260	-1.439	0.114
2.260	-1.437	0.142
2.260	-1.385	0.100
2.260	-1.452	0.094
2.260	-1.427	0.098
2.260	-1.427	0.098
2.260	-1.443	0.093
2.260	-1.358	0.104
2.260	-1.424	0.102
2.260	-1.377	0.104
2.260	-1.407	0.123
2.260	-1.314	0.077
2.260	-1.413	0.099
2.260	-1.438	0.108
2.260	-1.421	0.108
2.260	-1.442	0.110
2.260	-1.435	0.102
2.260	-1.367	0.100
2.260	-1.470	0.105
2.260	-1.420	0.097
2.260	-1.297	0.074
2.260	-1.424	0.112
2.260	-1.444	0.104
2.260	-1.444	0.098
2.260	-1.407	0.095
2.260	-1.361	0.093
2.260	-1.451	0.114
2.260	-1.403	0.087
2.260	-1.459	0.093
2.260	-1.412	0.104
2.260	-1.314	0.071
2.260	-1.440	0.113
2.260	-1.349	0.090
2.260	-1.403	0.109
2.260	-1.435	0.099
2.260	-1.422	0.107
2.260	-1.399	0.112
2.260	-1.453	0.087
2.260	-1.330	0.088
2.260	-1.452	0.089
2.260	-1.389	0.119
2.260	-1.424	0.103
2.260	-1.439	0.108
2.260	-1.427	0.113
2.260	-1.402	0.105
2.260	-1.412	0.117
2.260	-1.412	0.108
2.260	-1.416	0.109
2.260	-1.342	0.094
2.260	-1.435	0.117
2.260	-1.314	0.084
2.260	-1.421	0.117
2.260	-1.406	0.100
2.260	-1.467	0.099
2.260	-1.452	0.103
2.260	-1.366	0.082
2.260	-1.462	0.104
2.260	-1.399	0.103
2.260	-1.337	0.092
2.260	-1.382	0.114
2.260	-1.389	0.111
2.260	-1.443	0.101
2.260	-1.418	0.104
2.260	-1.433	0.099
2.260	-1.401	0.116
2.260	-1.360	0.104
2.260	-1.399	0.108
2.260	-1.372	0.096
2.260	-1.454	0.101
2.260	-1.366	0.119
2.260	-1.391	0.108
2.260	-1.415	0.089
2.260	-1.423	0.113
2.260	-1.443	0.114
2.260	-1.412	0.109
2.260	-1.435	0.115
2.260	-1.389	0.098
2.260	-1.378	0.113
2.260	-1.386	0.099
2.260	-1.452	0.091
2.260	-1.448	0.100
2.260	-1.435	0.093
2.260	-1.430	0.099
2.260	-1.426	0.106
2.260	-1.446	0.116
2.260	-1.441	0.103
2.260	-1.469	0.099
2.260	-1.433	0.108
2.260	-1.453	0.091
2.260	-1.385	0.108
2.260	-1.401	0.105
2.260	-1.421	0.116
2.260	-1.394	0.118
2.260	-1.371	0.128
2.260	-1.318	0.075
2.260	-1.373	0.106
2.260	-1.403	0.122
2.260	-1.427	0.101
2.260	-1.478	0.085
2.260	-1.437	0.086
2.260	-1.430	0.097
2.260	-1.367	0.100
2.260	-1.436	0.105
2.260	-1.382	0.104
2.260	-1.342	0.092
2.260	-1.418	0.097
2.260	-1.415	0.099
2.260	-1.438	0.100
2.260	-1.468	0.107
2.260	-1.412	0.106
2.260	-1.421	0.122
2.260	-1.427	0.111
2.260	-1.319	0.080
2.260	-1.354	0.093
2.260	-1.428	0.124
2.260	-1.304	0.086
2.260	-1.387	0.095
2.260	-1.433	0.091
2.260	-1.431	0.109
2.260	-1.429	0.111
2.260	-1.441	0.109
2.260	-1.402	0.105
2.260	-1.390	0.107
2.260	-1.444	0.110
2.260	-1.383	0.092
2.260	-1.443	0.101
2.260	-1.367	0.099
2.260	-1.405	0.114
2.260	-1.436	0.115
2.260	-1.436	0.120
2.260	-1.428	0.107
2.260	-1.470	0.088
2.260	-1.405	0.115
2.260	-1.435	0.098
2.260	-1.335	0.088
2.260	-1.432	0.103
2.260	-1.444	0.105
2.260	-1.342	0.089
2.260	-1.428	0.103
2.260	-1.476	0.099
2.260	-1.360	0.080
2.260	-1.413	0.099
2.260	-1.353	0.106
2.260	-1.393	0.101
2.260	-1.421	0.110
2.260	-1.360	0.106
2.260	-1.398	0.109
2.260	-1.442	0.095
2.260	-1.355	0.098
2.260	-1.440	0.111
2.260	-1.486	0.098
2.260	-1.439	0.103
2.260	-1.466	0.095
2.260	-1.410	0.109
2.260	-1.430	0.099
2.260	-1.455	0.111
2.260	-1.350	0.088
2.260	-1.436	0.112
2.260	-1.425	0.122
2.260	-1.386	0.099
2.260	-1.446	0.090
2.260	-1.482	0.091
2.260	-1.322	0.072
2.260	-1.459	0.103
2.260	-1.414	0.100
2.260	-1.382	0.103
2.260	-1.424	0.100
2.260	-1.424	0.113
2.260	-1.444	0.092
2.260	-1.446	0.096
2.260	-1.424	0.115
2.260	-1.413	0.115
2.260	-1.466	0.102
2.260	-1.438	0.094
2.260	-1.426	0.110
2.260	-1.394	0.115
2.260	-1.385	0.110
2.260	-1.380	0.093
2.260	-1.396	0.128
2.260	-1.434	0.104
2.260	-1.419	0.108
2.260	-1.429	0.112
2.260	-1.443	0.105
2.260	-1.413	0.096
2.260	-1.451	0.106
2.260	-1.442	0.104
2.260	-1.427	0.102
2.260	-1.428	0.117
2.260	-1.405	0.098
2.260	-1.428	0.112
2.260	-1.425	0.100
2.260	-1.442	0.092
2.260	-1.403	0.103
2.260	-1.453	0.103
2.260	-1.383	0.126
2.260	-1.449	0.112
2.260	-1.474	0.089
2.260	-1.445	0.104
2.260	-1.314	0.088
2.260	-1.369	0.107
2.260	-1.411	0.114
2.260	-1.454	0.120
2.260	-1.399	0.119
2.260	-1.430	0.108
2.260	-1.377	0.090
2.260	-1.448	0.098
2.260	-1.376	0.105
2.260	-1.415	0.103
2.260	-1.430	0.116
2.260	-1.423	0.109
2.260	-1.438	0.115
2.260	-1.414	0.116
2.260	-1.415	0.113
2.260	-1.432	0.123
2.260	-1.344	0.086
2.260	-1.386	0.101
2.260	-1.405	0.091
2.260	-1.469	0.104
2.260	-1.401	0.094
2.260	-1.460	0.090
2.260	-1.455	0.097
2.260	-1.406	0.118
2.260	-1.435	0.096
2.260	-1.380	0.109
2.260	-1.459	0.105
2.260	-1.409	0.096
2.260	-1.407	0.120
2.260	-1.371	0.116
2.260	-1.449	0.094
2.260	-1.437	0.109
2.260	-1.420	0.098
2.260	-1.408	0.108
2.260	-1.413	0.099
2.260	-1.452	0.100
2.260	-1.401	0.103
2.260	-1.404	0.112
2.260	-1.415	0.111
2.260	-1.457	0.099
2.260	-1.437	0.102
2.260	-1.419	0.114
2.260	-1.426	0.113
2.260	-1.378	0.116
2.260	-1.455	0.100
2.260	-1.418	0.108
2.260	-1.435	0.110
2.260	-1.440	0.091
2.260	-1.406	0.093
2.260	-1.370	0.077
2.260	-1.352	0.100
2.260	-1.389	0.105
2.260	-1.391	0.104
2.260	-1.376	0.112
2.260	-1.383	0.106
2.260	-1.397	0.102
2.260	-1.457	0.087
2.260	-1.422	0.107
2.260	-1.477	0.089
2.260	-1.383	0.107
2.260	-1.450	0.099
2.260	-1.418	0.112
2.260	-1.357	0.105
2.260	-1.416	0.113
2.260	-1.459	0.099
2.260	-1.290	0.072
2.260	-1.431	0.124
2.260	-1.342	0.107
2.260	-1.448	0.108
2.260	-1.405	0.105
2.260	-1.493	0.102
2.260	-1.425	0.093
2.260	-1.427	0.108
2.260	-1.367	0.108
2.260	-1.435	0.126
2.260	-1.383	0.105
2.260	-1.447	0.113
2.260	-1.417	0.104
2.260	-1.459	0.088
2.260	-1.416	0.100
2.260	-1.419	0.094
2.260	-1.322	0.089
2.260	-1.415	0.128
2.260	-1.404	0.108
2.260	-1.413	0.109
2.260	-1.438	0.107
2.260	-1.431	0.120
2.260	-1.421	0.103
2.260	-1.459	0.107
2.260	-1.432	0.097
2.260	-1.386	0.091
2.260	-1.389	0.095
2.260	-1.423	0.095
2.260	-1.435	0.087
2.260	-1.442	0.106
2.260	-1.443	0.104
2.260	-1.338	0.090
2.260	-1.464	0.092
2.260	-1.431	0.102
2.260	-1.431	0.115
2.260	-1.463	0.112
2.260	-1.468	0.108
2.260	-1.421	0.093
2.260	-1.454	0.088
2.260	-1.416	0.115
2.260	-1.368	0.121
2.260	-1.367	0.108
2.260	-1.427	0.100
2.260	-1.442	0.104
2.260	-1.434	0.108
2.260	-1.425	0.113
2.260	-1.469	0.098
2.260	-1.428	0.101
2.260	-1.391	0.096
2.260	-1.450	0.099
2.260	-1.465	0.094
2.260	-1.384	0.110
2.260	-1.462	0.098
2.260	-1.425	0.102
2.260	-1.358	0.100
2.260	-1.415	0.115
2.260	-1.400	0.110
2.260	-1.336	0.084
2.260	-1.451	0.105
2.260	-1.412	0.124
2.260	-1.458	0.107
2.260	-1.350	0.082
2.260	-1.368	0.116
2.260	-1.412	0.117
2.260	-1.425	0.094
2.260	-1.434	0.106
2.260	-1.387	0.113
2.260	-1.457	0.106
2.260	-1.385	0.113
2.260	-1.429	0.096
2.260	-1.437	0.105
2.260	-1.430	0.111
2.260	-1.408	0.108
2.260	-1.406	0.113
2.260	-1.390	0.090
2.260	-1.442	0.110
2.260	-1.359	0.119
2.260	-1.422	0.111
2.260	-1.339	0.100
2.260	-1.468	0.095
2.260	-1.362	0.089
2.260	-1.395	0.096
2.260	-1.405	0.102
2.260	-1.379	0.101
2.260	-1.375	0.104
2.260	-1.452	0.087
2.260	-1.356	0.115
2.260	-1.377	0.105
2.260	-1.309	0.071
2.260	-1.422	0.111
2.260	-1.400	0.116
2.260	-1.443	0.092
2.260	-1.363	0.109
2.260	-1.419	0.104
2.260	-1.392	0.108
2.260	-1.449	0.094
2.260	-1.392	0.125
2.260	-1.395	0.104
2.260	-1.298	0.078
2.260	-1.456	0.104
2.260	-1.463	0.106
2.260	-1.449	0.097
2.260	-1.463	0.103
2.260	-1.326	0.082
2.260	-1.350	0.073
2.260	-1.400	0.097
2.260	-1.424	0.112
2.260	-1.436	0.095
2.260	-1.437	0.112
2.260	-1.441	0.104
2.260	-1.401	0.116
2.260	-1.408	0.108
2.260	-1.390	0.122
2.260	-1.367	0.115
2.260	-1.441	0.094
2.260	-1.413	0.121
2.260	-1.363	0.088
2.260	-1.431	0.114
2.260	-1.337	0.107
2.260	-1.423	0.103
2.260	-1.418	0.098
2.260	-1.325	0.078
2.260	-1.445	0.108
2.260	-1.443	0.108
2.260	-1.400	0.114
2.260	-1.433	0.116
2.260	-1.407	0.103
2.260	-1.457	0.101
2.260	-1.442	0.121
2.260	-1.374	0.103
2.260	-1.376	0.108
2.260	-1.421	0.120
2.260	-1.405	0.113
2.260	-1.477	0.096
2.260	-1.384	0.103
2.260	-1.472	0.096
2.260	-1.341	0.105
2.260	-1.419	0.106
2.260	-1.420	0.111
2.260	-1.419	0.115
2.260	-1.366	0.110
2.260	-1.398	0.107
2.260	-1.424	0.106
2.260	-1.377	0.091
2.260	-1.437	0.105
2.260	-1.436	0.117
2.260	-1.413	0.119
2.260	-1.422	0.101
2.260	-1.414	0.109
2.260	-1.451	0.122
2.260	-1.442	0.095
2.260	-1.448	0.101
2.260	-1.443	0.105
2.260	-1.423	0.105
2.260	-1.445	0.104
2.260	-1.455	0.099
2.260	-1.451	0.095
2.260	-1.376	0.109
2.260	-1.479	0.095
2.260	-1.459	0.105
2.260	-1.412	0.098
2.260	-1.421	0.105
2.260	-1.369	0.101
2.260	-1.439	0.095
2.260	-1.363	0.108
2.260	-1.360	0.097
2.260	-1.361	0.105
2.260	-1.428	0.092
2.260	-1.414	0.089
2.260	-1.407	0.126
2.260	-1.442	0.102
2.260	-1.407	0.106
2.260	-1.450	0.116
2.260	-1.417	0.117
2.260	-1.403	0.118
2.260	-1.438	0.099
