T	<e>	d<e>
2.260	-1.416	0.110
2.260	-1.460	0.098
2.260	-1.442	0.101
2.260	-1.401	0.132
2.260	-1.397	0.116
2.260	-1.349	0.096
2.260	-1.446	0.101
2.260	-1.420	0.116
2.260	-1.433	0.099
2.260	-1.391	0.102
2.260	-1.446	0.109
2.260	-1.434	0.100
2.260	-1.376	0.105
2.260	-1.410	0.091
2.260	-1.466	0.096
2.260	-1.463	0.104
2.260	-1.415	0.111
2.260	-1.414	0.096
2.260	-1.439	0.121
2.260	-1.428	0.099
2.260	-1.415	0.106
2.260	-1.432	0.106
2.260	-1.452	0.088
2.260	-1.434	0.112
2.260	-1.374	0.093
2.260	-1.456	0.103
2.260	-1.396	0.093
2.260	-1.416	0.099
2.260	-1.383	0.116
2.260	-1.458	0.099
2.260	-1.351	0.110
2.260	-1.426	0.120
2.260	-1.403	0.093
2.260	-1.450	0.100
2.260	-1.415	0.113
2.260	-1.438	0.109
2.260	-1.383	0.109
2.260	-1.441	0.105
2.260	-1.386	0.124
2.260	-1.410	0.102
2.260	-1.439	0.094
2.260	-1.324	0.092
2.260	-1.420	0.107
2.260	-1.451	0.109
2.260	-1.445	0.104
2.260	-1.426	0.101
2.260	-1.400	0.083
2.260	-1.392	0.112
2.260	-1.408	0.106
2.260	-1.473	0.100
2.260	-1.400	0.115
2.260	-1.327	0.088
2.260	-1.403	0.109
2.260	-1.431	0.116
2.260	-1.344	0.088
2.260	-1.438	0.116
2.260	-1.387	0.107
2.260	-1.390	0.100
2.260	-1.445	0.112
2.260	-1.380	0.114
2.260	-1.377	0.099
2.260	-1.447	0.091
2.260	-1.317	0.069
2.260	-1.311	0.088
2.260	-1.434	0.109
2.260	-1.405	0.114
2.260	-1.434	0.091
2.260	-1.470	0.092
2.260	-1.447	0.095
2.260	-1.456	0.093
2.260	-1.412	0.102
2.260	-1.430	0.107
2.260	-1.421	0.109
2.260	-1.455	0.090
2.260	-1.372	0.105
2.260	-1.394	0.101
2.260	-1.420	0.108
2.260	-1.398	0.112
2.260	-1.469	0.108
2.260	-1.460	0.087
2.260	-1.410	0.093
2.260	-1.441	0.104
2.260	-1.420	0.105
2.260	-1.412	0.113
2.260	-1.388	0.107
2.260	-1.418	0.118
2.260	-1.394	0.125
2.260	-1.456	0.095
2.260	-1.408	0.111
2.260	-1.423	0.097
2.260	-1.370	0.109
2.260	-1.401	0.104
2.260	-1.416	0.106
2.260	-1.379	0.115
2.260	-1.427	0.105
2.260	-1.399	0.109
2.260	-1.338	0.087
2.260	-1.453	0.100
2.260	-1.461	0.095
2.260	-1.433	0.108
2.260	-1.424	0.106
2.260	-1.393	0.124
2.260	-1.378	0.091
2.260	-1.419	0.115
2.260	-1.424	0.113
2.260	-1.425	0.101
2.260	-1.365	0.116
2.260	-1.400	0.093
2.260	-1.457	0.121
2.260	-1.339	0.077
2.260	-1.372	0.087
2.260	-1.426	0.113
2.260	-1.445	0.100
2.260	-1.422	0.111
2.260	-1.397	0.112
2.260	-1.451	0.090
2.260	-1.447	0.116
2.260	-1.464	0.094
2.260	-1.404	0.101
2.260	-1.442	0.100
2.260	-1.419	0.107
2.260	-1.393	0.115
2.260	-1.448	0.094
2.260	-1.432	0.120
2.260	-1.355	0.104
2.260	-1.429	0.111
2.260	-1.429	0.097
2.260	-1.388	0.101
2.260	-1.439	0.111
2.260	-1.406	0.110
2.260	-1.356	0.105
2.260	-1.319	0.084
2.260	-1.421	0.102
2.260	-1.357	0.114
2.260	-1.393	0.101
2.260	-1.418	0.115
2.260	-1.429	0.100
2.260	-1.355	0.100
2.260	-1.389	0.091
2.260	-1.396	0.088
2.260	-1.353	0.089
2.260	-1.420	0.113
2.260	-1.443	0.108
2.260	-1.474	0.087
2.260	-1.403	0.112
2.260	-1.430	0.105
2.260	-1.432	0.101
2.260	-1.421	0.084
2.260	-1.402	0.112
2.260	-1.444	0.095
2.260	-1.398	0.110
2.260	-1.387	0.104
2.260	-1.324	0.098
2.260	-1.364	0.100
2.260	-1.474	0.093
2.260	-1.383	0.108
2.260	-1.380	0.117
2.260	-1.416	0.105
2.260	-1.396	0.118
2.260	-1.391	0.102
2.260	-1.363	0.078
2.260	-1.334	0.092
2.260	-1.317	0.083
2.260	-1.430	0.101
2.260	-1.320	0.070
2.260	-1.415	0.108
2.260	-1.383	0.108
2.260	-1.355	0.126
2.260	-1.462	0.089
2.260	-1.433	0.117
2.260	-1.425	0.106
2.260	-1.379	0.105
2.260	-1.367	0.103
2.260	-1.459	0.094
2.260	-1.449	0.107
2.260	-1.449	0.099
2.260	-1.463	0.092
2.260	-1.431	0.104
2.260	-1.371	0.103
2.260	-1.454	0.096
2.260	-1.433	0.105
2.260	-1.402	0.117
2.260	-1.401	0.113
2.260	-1.341	0.093
2.260	-1.436	0.105
2.260	-1.388	0.126
2.260	-1.425	0.099
2.260	-1.453	0.100
2.260	-1.477	0.090
2.260	-1.434	0.104
2.260	-1.386	0.125
2.260	-1.381	0.096
2.260	-1.398	0.091
2.260	-1.342	0.086
2.260	-1.459	0.118
2.260	-1.442	0.099
2.260	-1.401	0.114
2.260	-1.402	0.104
2.260	-1.459	0.104
2.260	-1.439	0.121
2.260	-1.410	0.123
2.260	-1.394	0.111
2.260	-1.433	0.111
2.260	-1.493	0.094
2.260	-1.413	0.103
2.260	-1.383	0.099
2.260	-1.412	0.092
2.260	-1.404	0.110
2.260	-1.373	0.109
2.260	-1.469	0.087
2.260	-1.450	0.108
2.260	-1.458	0.100
2.260	-1.406	0.101
2.260	-1.380	0.101
2.260	-1.390	0.099
2.260	-1.382	0.110
2.260	-1.310	0.085
2.260	-1.397	0.098
2.260	-1.410	0.115
2.260	-1.435	0.101
2.260	-1.382	0.108
2.260	-1.416	0.100
2.260	-1.421	0.096
2.260	-1.437	0.109
2.260	-1.444	0.107
2.260	-1.441	0.109
2.260	-1.446	0.089
2.260	-1.402	0.092
2.260	-1.419	0.111
2.260	-1.415	0.099
2.260	-1.379	0.101
2.260	-1.438	0.116
2.260	-1.395	0.124
2.260	-1.356	0.109
2.260	-1.432	0.102
2.260	-1.414	0.108
2.260	-1.336	0.104
2.260	-1.422	0.102
2.260	-1.408	0.104
2.260	-1.463	0.092
2.260	-1.437	0.102
2.260	-1.377	0.105
2.260	-1.392	0.099
2.260	-1.424	0.121
2.260	-1.442	0.106
2.260	-1.443	0.103
2.260	-1.407	0.111
2.260	-1.329	0.077
2.260	-1.382	0.115
2.260	-1.396	0.122
2.260	-1.360	0.099
2.260	-1.445	0.101
2.260	-1.453	0.103
2.260	-1.405	0.084
2.260	-1.410	0.097
2.260	-1.404	0.119
2.260	-1.398	0.106
2.260	-1.439	0.090
2.260	-1.350	0.099
2.260	-1.434	0.122
2.260	-1.429	0.112
2.260	-1.438	0.115
2.260	-1.419	0.112
2.260	-1.429	0.106
2.260	-1.466	0.101
2.260	-1.334	0.087
2.260	-1.425	0.107
2.260	-1.369	0.117
2.260	-1.411	0.120
2.260	-1.413	0.095
2.260	-1.384	0.110
2.260	-1.431	0.104
2.260	-1.429	0.124
2.260	-1.386	0.106
2.260	-1.407	0.095
2.260	-1.382	0.114
2.260	-1.462	0.108
2.260	-1.469	0.107
2.260	-1.452	0.096
2.260	-1.413	0.106
2.260	-1.373	0.124
2.260	-1.435	0.097
2.260	-1.411	0.109
2.260	-1.443	0.107
2.260	-1.434	0.107
2.260	-1.356	0.090
2.260	-1.453	0.092
2.260	-1.349	0.086
2.260	-1.418	0.109
2.260	-1.388	0.119
2.260	-1.409	0.106
2.260	-1.437	0.100
2.260	-1.364	0.082
2.260	-1.340	0.093
2.260	-1.460	0.111
2.260	-1.421	0.099
2.260	-1.371	0.089
2.260	-1.433	0.112
2.260	-1.406	0.119
2.260	-1.350	0.085
2.260	-1.388	0.106
2.260	-1.422	0.104
2.260	-1.353	0.092
2.260	-1.398	0.103
2.260	-1.395	0.113
2.260	-1.437	0.117
2.260	-1.422	0.119
2.260	-1.402	0.100
2.260	-1.474	0.106
2.260	-1.327	0.098
2.260	-1.398	0.101
2.260	-1.443	0.113
2.260	-1.420	0.123
2.260	-1.432	0.102
2.260	-1.469	0.101
2.260	-1.362	0.104
2.260	-1.446	0.106
2.260	-1.379	0.113
2.260	-1.447	0.096
2.260	-1.427	0.101
2.260	-1.372	0.104
2.260	-1.456	0.094
2.260	-1.393	0.101
2.260	-1.303	0.073
2.260	-1.434	0.095
2.260	-1.447	0.103
2.260	-1.419	0.108
2.260	-1.462	0.098
2.260	-1.432	0.112
2.260	-1.382	0.121
2.260	-1.363	0.100
2.260	-1.433	0.113
2.260	-1.439	0.113
2.260	-1.402	0.122
2.260	-1.430	0.116
2.260	-1.437	0.099
2.260	-1.465	0.108
2.260	-1.439	0.121
2.260	-1.441	0.092
2.260	-1.433	0.114
2.260	-1.366	0.100
2.260	-1.366	0.109
2.260	-1.384	0.099
2.260	-1.444	0.096
2.260	-1.391	0.100
2.260	-1.462	0.112
2.260	-1.454	0.103
2.260	-1.472	0.103
2.260	-1.450	0.096
2.260	-1.334	0.085
2.260	-1.445	0.095
2.260	-1.386	0.117
2.260	-1.432	0.116
2.260	-1.408	0.126
2.260	-1.467	0.096
2.260	-1.414	0.106
2.260	-1.402	0.107
2.260	-1.416	0.105
2.260	-1.405	0.113
2.260	-1.365	0.099
2.260	-1.405	0.103
2.260	-1.315	0.097
2.260	-1.426	0.106
2.260	-1.424	0.093
2.260	-1.383	0.094
2.260	-1.421	0.118
2.260	-1.411	0.106
2.260	-1.401	0.102
2.260	-1.411	0.106
2.260	-1.435	0.108
2.260	-1.400	0.112
2.260	-1.437	0.105
2.260	-1.427	0.090
2.260	-1.398	0.106
2.260	-1.457	0.098
2.260	-1.434	0.114
2.260	-1.368	0.110
2.260	-1.471	0.098
2.260	-1.401	0.116
2.260	-1.363	0.103
2.260	-1.455	0.111
2.260	-1.377	0.116
2.260	-1.420	0.099
2.260	-1.417	0.108
2.260	-1.404	0.116
2.260	-1.400	0.113
2.260	-1.384	0.109
2.260	-1.441	0.098
2.260	-1.449	0.108
2.260	-1.433	0.101
2.260	-1.426	0.121
2.260	-1.345	0.103
2.260	-1.373	0.116
2.260	-1.411	0.106
2.260	-1.444	0.100
2.260	-1.390	0.097
2.260	-1.420	0.104
2.260	-1.394	0.104
2.260	-1.423	0.109
2.260	-1.458	0.102
2.260	-1.444	0.104
2.260	-1.455	0.097
2.260	-1.348	0.099
2.260	-1.441	0.097
2.260	-1.385	0.102
2.260	-1.417	0.114
2.260	-1.432	0.107
2.260	-1.443	0.116
